seed,n,p,k,a,rho,niter,family,file1,file2,file3,file4
28,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
29,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
30,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
31,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
32,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
33,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
34,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
35,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
36,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
37,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
38,1000,200,50,10,0.2,1,gaussian,elastic_configgaus_corr02.txt,elastic_fdpgaus_corr02.txt,elastic_selgaus_corr02.txt,elastic_truegaus_corr02.txt
